MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
RAM;1024;int;4;0;chrono::high_resolution_clock;0,000136;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;1;chrono::high_resolution_clock;0,000136;0,000140;890,630566;0,000140;99,960812%;0,000135;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;2;chrono::high_resolution_clock;0,000137;0,000140;890,630566;0,000140;99,960812%;0,000135;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;3;chrono::high_resolution_clock;0,000136;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;4;chrono::high_resolution_clock;0,000168;0,000140;890,630566;0,000140;99,960812%;0,000161;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;5;chrono::high_resolution_clock;0,000145;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;6;chrono::high_resolution_clock;0,000137;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;7;chrono::high_resolution_clock;0,000136;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;8;chrono::high_resolution_clock;0,000137;0,000140;890,630566;0,000140;99,960812%;0,000136;0,000138;902,787809;0,000138;99,960277%
RAM;1024;int;4;9;chrono::high_resolution_clock;0,000136;0,000140;890,630566;0,000140;99,960812%;0,000137;0,000138;902,787809;0,000138;99,960277%
